PMCTS,MCTS,AB,Playouts,Language,,,,,,,
11.93889,12.48945,NA,100,Python,,,,,,,
14.58699,12.44647,NA,100,Python,,,,,,,
13.56983,11.49876,NA,100,Python,,,,,,,
14.75003,12.59856,NA,100,Python,,,,,,,
13.45272,12.86216,NA,100,Python,,,,,,,
14.27017,12.32885,NA,100,Python,,,,,,,
13.44704,11.9031,NA,100,Python,,,,,,,
12.99159,11.49311,NA,100,Python,,,,,,,
12.98516,13.08185,NA,100,Python,,,,,,,
12.91534,12.13195,NA,100,Python,,,,,,,
13.1851,12.25338,NA,100,Python,,,,,,,
13.15728,11.15174,NA,100,Python,,,,,,,
13.1541,11.51472,NA,100,Python,,,,,,,
12.96569,11.25285,NA,100,Python,,,,,,,
12.81139,11.85892,NA,100,Python,,,,,,,
14.32189,11.75197,NA,100,Python,,,,,,,
13.86649,13.57867,NA,100,Python,,,,,,,
12.97624,11.60331,NA,100,Python,,,,,,,
13.37349,11.70189,NA,100,Python,,,,,,,
13.17096,12.86769,NA,100,Python,,,,,,,
13.19067,12.42966,NA,100,Python,,,,,,,
13.20621,12.2136,NA,100,Python,,,,,,,
13.68246,11.40813,NA,100,Python,,,,,,,
12.42524,10.79939,NA,100,Python,,,,,,,
13.1142,11.77106,NA,100,Python,,,,,,,
13.62371,12.69876,NA,100,Python,,,,,,,
12.43433,12.36661,NA,100,Python,,,,,,,
12.40754,11.73377,NA,100,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
NA,NA,NA,1000,Python,,,,,,,
0.1009423,0.09124974,0.02390898,1,Julia,,,,,,,
0.1001436,0.0893916,0.02328998,1,Julia,,,,,,,
0.1001009,0.09005223,0.0217423,1,Julia,,,,,,,
0.09906146,0.0875635,0.0249864,1,Julia,,,,,,,
0.09936867,0.09139573,0.02394181,1,Julia,,,,,,,
0.1004849,0.09119273,0.02087104,1,Julia,,,,,,,
0.1018847,0.08909824,0.02379315,1,Julia,,,,,,,
0.1019963,0.08982744,0.02259624,1,Julia,,,,,,,
0.1022997,0.08954722,0.024488,1,Julia,,,,,,,
0.1000496,0.08936194,0.02296405,1,Julia,,,,,,,
0.09944804,0.08865363,0.022156,1,Julia,,,,,,,
0.1008529,0.09082157,0.02240791,1,Julia,,,,,,,
0.1003028,0.09049629,0.02348369,1,Julia,,,,,,,
0.1013107,0.09051463,0.02190489,1,Julia,,,,,,,
0.09991758,0.0915784,0.02236367,1,Julia,,,,,,,
0.1016101,0.08948794,0.0245115,1,Julia,,,,,,,
0.1011185,0.08959554,0.02254001,1,Julia,,,,,,,
0.1008692,0.08981255,0.02507581,1,Julia,,,,,,,
0.101998,0.08944316,0.02358919,1,Julia,,,,,,,
0.1012012,0.08891112,0.02365099,1,Julia,,,,,,,
0.1011398,0.08741132,0.02312505,1,Julia,,,,,,,
0.1009818,0.090572,0.02414814,1,Julia,,,,,,,
0.1015087,0.08837915,0.02440316,1,Julia,,,,,,,
