PMCTS full,PMCTS Playout,MCTS full play,MCTS Playout,AB full play,MC vs PMC,PMC vs AB,MC vs AB,Playouts,Language
0.030056681,0.000103656,NA,NA,0.001020287,NA,AB,NA,1,Julia
0.030172965,8.76E-05,NA,NA,0.00122876,NA,AB,NA,1,Julia
0.030575182,8.79E-05,NA,NA,0.001272644,NA,AB,NA,1,Julia
0.022386466,8.78E-05,NA,NA,0.000761723,NA,AB,NA,1,Julia
0.022447233,8.77E-05,NA,NA,0.000788927,NA,PMC,NA,1,Julia
0.027863324,9.86E-05,NA,NA,0.011256615,NA,PMC,NA,1,Julia
0.028184175,9.93E-05,NA,NA,0.01161008,NA,PMC,NA,1,Julia
0.028704313,9.98E-05,NA,NA,0.012024726,NA,PMC,NA,1,Julia
0.02995778,9.50E-05,NA,NA,0.00104905,NA,PMC,NA,1,Julia
0.030056724,9.41E-05,NA,NA,0.001086516,NA,PMC,NA,1,Julia
0.032988199,9.91E-05,NA,NA,0.000764888,NA,PMC,NA,1,Julia
0.033475735,9.96E-05,NA,NA,0.000757022,NA,PMC,NA,1,Julia
0.035866013,0.000107929,NA,NA,0.00158749,NA,PMC,NA,1,Julia
0.036514502,0.000108922,NA,NA,0.001644186,NA,PMC,NA,1,Julia
0.028918127,7.81E-05,NA,NA,0.000853152,NA,PMC,NA,1,Julia
0.029309,7.81E-05,NA,NA,0.000845909,NA,PMC,NA,1,Julia
0.028572699,9.70E-05,NA,NA,0.012321497,NA,AB,NA,1,Julia
0.028692067,9.66E-05,NA,NA,0.01276155,NA,AB,NA,1,Julia
0.028939918,9.65E-05,NA,NA,0.013197166,NA,AB,NA,1,Julia
0.026805912,8.28E-05,NA,NA,0.000912749,NA,AB,NA,1,Julia
0.027050107,8.26E-05,NA,NA,0.000945347,NA,PMC,NA,1,Julia
0.02798189,8.83E-05,NA,NA,0.000798423,NA,AB,NA,1,Julia
0.02832084,8.86E-05,NA,NA,0.000791379,NA,AB,NA,1,Julia
NA,NA,0.01997401,9.28E-05,0.000965316,NA,NA,MC,1,Julia
NA,NA,0.019677094,8.93E-05,0.000999791,NA,NA,MC,1,Julia
NA,NA,0.021436806,9.56E-05,0.00103634,NA,NA,MC,1,Julia
NA,NA,0.021149627,9.21E-05,0.001073352,NA,NA,MC,1,Julia
NA,NA,0.017935547,7.64E-05,0.000939706,NA,NA,MC,1,Julia
